image_name,group,human_caption_1,human_caption_2,human_caption_3,human_caption_4,human_caption_5,baseline_caption,baseline_best_f1,exp1_longer_caption,exp1_longer_best_f1,exp2_beam5_caption,exp2_beam5_best_f1
1119418776_58e4b93eac.jpg,good,A black and white dog is running through the field .,"A black , brown and white dog running through a field .","A brown , black and white dog is running through a large field with its mouth open .",A dog running in a field .,A dog with its mouth open running through a field torwards the camera .,a dog running in a field,1.0,a dog running in a field,1.0,a dog running in a field,1.0
1235681222_819231767a.jpg,good,A person in a blue shirt sits behind two people sitting on a wood bench .,People sit on benches .,People sitting on benches in a public area .,Three people sit on wood benches set on white and orange tile .,Three people sit waiting in a lobby .,people sitting on benches in a public area,1.0,people sitting on benches in a public area,1.0,a group of people sitting on benches on a sidewalk,0.625
143237785_93f81b3201.jpg,good,A man holding a fish .,A man holds a fish in both hands .,A man holds a large fish on a boat .,Someone is holding up a green fish for display outdoors .,The person in blue jeans holds a yellow fish .,a man holding a fish,1.0,a man holding a fish,1.0,a man holding a fish,1.0
1662261486_db967930de.jpg,good,A black and white dog is jumping through a black and white hoop .,A black and white dog jumps through a black and white hoop .,A brown and white dog jumping through a black and white hoop .,A dog jumping through a black and white hoop .,A dog jumping through a ring .,a dog jumping through a ring,1.0,a dog jumping through a ring,1.0,a dog jumping in the air,0.5455
2786299623_a3c48bd318.jpg,good,a lone woman wearing a bikini on a beach walking a dog on a leash,A woman in a bathing suit walks a dog on the beach .,A woman in a bikini pulls a dog on a leash at the beach .,A woman is standing at the beach with her dog on a leash,A woman walking a dog on a beach .,a woman walking a dog on a beach,1.0,a woman walking a dog on a beach,1.0,a woman walking a dog on a beach,1.0
2686432878_0697dbc048.jpg,medium,"A female with glasses , a brown shirt , and a backpack .",A happy bespectacled young white girl in a brown t-shirt and a backpack,A woman wearing a brown shirt and glasses smiles for the camera .,There is a young girl with glasses and disheveled hair with a green backpack .,"Young lady with brown shirt , glasses , and a backpack .",a woman with a backpack,0.5,a woman with a backpack,0.5,a woman wearing a backpack,0.4
2692635048_16c279ff9e.jpg,medium,A black dog lays next to a ball .,A black dog sitting in brown grass with a colorful ball .,A brown and black dog laying next to a colourful ball .,A doberman mix takes a break in the hay from playing with his ball .,The dog rests after playing catch .,a dog laying in the grass,0.5,a dog laying in the grass,0.5,a dog laying in the grass with a ball,0.6667
2696636252_91ef1491ea.jpg,medium,A man is skating on a rail .,A person wearing Rollerblades slides along a handrail .,A rollerblader grinding a rail and grabbing one foot .,A rollerblader grinds across a rail .,Boy in black shirt on one foot standing on metal rail above green grass on right and black pavement on left .,a man jumping a skateboard over a rail,0.5,a man jumping a skateboard over a rail,0.5,a person jumping a skate board in the air,0.2667
2705793985_007cc703fb.jpg,medium,A black and white dog in a blue harness running through a grassy field .,A black and white dog runs through grass .,A black and white dog with a blue collar walks through the grass .,A black and white dog with a blue halter runs through the grass .,A black dog with a blue collar runs through the green grass .,a dog in the grass,0.5,a dog in the grass,0.5,a dog in the grass,0.5
2709648336_15455e60b2.jpg,medium,A brown dog in midair with a Frisbee in his mouth .,A brown dog is catching a Frisbee in midair .,A brown dog jumped into the air and caught a Frisbee .,A large brown and black dog jumps in the air holding a white Frisbee in its mouth .,The dog leaps to catch the Frisbee .,a dog jumping in the air,0.5,a dog jumping in the air,0.5,dog jumping in the air,0.4
2710563762_06d48329d7.jpg,medium,A girl basketball player wearing blue is blocking another girl player wearing yellow .,A group of people gather on a basketball court as one person jumps for the ball .,Basketball players jumping up for the ball during a game .,Girls are playing basketball .,two teams of players playing basketball on a court outside .,a group of people playing basketball,0.5,a group of people playing basketball,0.5,a group of people playing basketball,0.5
2710698257_2e4ca8dd44.jpg,medium,A man is standing on top of rocks overlooking the ocean .,A man sands with his arms out on a rocky ledge in front of the ocean .,A man stands atop a rocky cliff over the water .,Man standing on the edge of rocks near an ocean .,Man standing on top of jagged rocks near the ocean .,a man standing on a cliff,0.5,a man standing on a cliff,0.5,the sky is clear and blue,0.2353
2714878018_1593c38d69.jpg,medium,A boy jumping over some water .,A boy wearing swimming trunks jumps over some sprinkler water in a backyard .,A little boy in glasses jumps into a spray of water .,a young boy jumping through a mist of water .,Young boy with glasses playing in the sprinkler .,a boy jumping in the air,0.5,a boy jumping in the air,0.5,a boy jumping in the air,0.5
2723477522_d89f5ac62b.jpg,medium,A big dog chases a little dog on the grass .,A black dog is chasing a smaller brown dog over grass .,The large brown dog is chasing after the little brown dog .,Two brown dogs run through the grass together .,two dogs play in the grass .,a dog chasing a dog,0.5,a dog chasing a dog,0.5,two dogs running in the grass,0.8333
2766291711_4e13a2b594.jpg,medium,A dog is running away with a sandal in its mouth .,A large white poodle is walking on the grass carrying a sandal .,a large white puddle running along with a pink flip flop in its mouth,A white dog carries a pink flip-flop through the green yard .,Large white poodle carrying a pink flip flop outside .,a dog running in the grass,0.5,a dog running in the grass,0.5,a dog running in the grass,0.5
2043520315_4a2c782c90.jpg,bad,A group of hikers led by a black and white dog climbs a hillside trail covered in ferns .,A group of three people and one dog hike up a green mountainside .,People with a dog hike up a green mountain .,Three hikers and a dog are walking through the foliage on the hillside .,Three people hiking up a mountain with a river and other mountains in the background .,the sky is cloudy,0.125,the sky is cloudy,0.125,mountains in the background,0.4444
299612419_b55fe32fea.jpg,bad,A group of young men sit on rock and look in the distance .,Three guys sitting on rocks looking at the scenery .,Three men sit on rocks in the sand while the man in the red hat and shirt looks out .,Three young men sit on rocks at the top of a mountian .,Two guys sit on rocks while another stands looking in the distance .,a clear blue sky,0.125,a clear blue sky,0.125,a clear blue sky,0.125
